name,province,type,status,effective_date,notes
Municipal District of Taber,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Wainwright No. 61,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Willow Creek No. 26,Alberta,Municipal District,Registered,2012-01-01,
Municipality of Crowsnest Pass,Alberta,Specialized Municipality,Registered,2012-01-01,
Municipality of Jasper,Alberta,Specialized Municipality,Registered,2012-01-01,
Northern Sunrise County,Alberta,Municipal District,Registered,2012-01-01,
Paddle Prairie Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Parkland County,Alberta,Municipal District,Registered,2012-01-01,
Peavine Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Ponoka County,Alberta,Municipal District,Registered,2012-01-01,
Red Deer County,Alberta,Municipal District,Registered,2012-01-01,
Regional Municiaplity of Wood Buffalo,Alberta,Specialized Municipality,Registered,2012-01-01,
Rocky View County,Alberta,Municipal District,Registered,2012-01-01,
Saddle Hills County,Alberta,Municipal District,Registered,2012-01-01,
Smoky Lake County,Alberta,Municipal District,Registered,2012-01-01,
Special Areas Board,Alberta,Special Area,Registered,2012-01-01,
Starland County,Alberta,Municipal District,Registered,2012-01-01,
Strathcona County,Alberta,Specialized Municipality,Registered,2012-01-01,
Sturgeon County,Alberta,Municipal District,Registered,2012-01-01,
Summer Village of Argentia Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Betula Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Birch Cove,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Birchcliff,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Bondiss,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Bonnyville Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Burnstick Lake,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Castle Island,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Crystal Springs,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Ghost Lake,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Golden Days,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Grandview,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Gull Lake,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Half Moon Bay,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Horseshoe Bay,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Island Lake,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Island Lake South,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Itaska Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Jarvis Bay,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Kapasiwin,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Lakeview,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Larkspur,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Ma-Me-O Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Mewatha Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Nakamun Park,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Norglenwold,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Norris Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Parkland Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Pelican Narrows,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Point Alison,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Poplar Bay,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Rochon Sands,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Ross Haven,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Sandy Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Seba Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Silver Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Silver Sands,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of South Baptiste,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of South View,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Sunbreaker Cove,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Sundance Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Sunrise Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Sunset Beach,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Sunset Point,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Val Quentin,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Waiparous,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of West Baptiste,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of West Cove,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Whispering Hills,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of White Sands,Alberta,Summer Village,Registered,2012-01-01,
Summer Village of Yellowstone,Alberta,Summer Village,Registered,2012-01-01,
Town of Athabasca,Alberta,Town,Registered,2012-01-01,
Town of Banff,Alberta,Town,Registered,2012-01-01,
Town of Barrhead,Alberta,Town,Registered,2012-01-01,
Town of Bashaw,Alberta,Town,Registered,2012-01-01,
Town of Bassano,Alberta,Town,Registered,2012-01-01,
Town of Beaumont,Alberta,Town,Registered,2012-01-01,
Town of Beaverlodge,Alberta,Town,Registered,2012-01-01,
Town of Bentley,Alberta,Town,Registered,2012-01-01,
Town of Black Diamond,Alberta,Town,Registered,2012-01-01,
Town of Blackfalds,Alberta,Town,Registered,2012-01-01,
Town of Bon Accord,Alberta,Town,Registered,2012-01-01,
Town of Bonnyville,Alberta,Town,Registered,2012-01-01,
Town of Bow Island,Alberta,Town,Registered,2012-01-01,
Town of Bowden,Alberta,Town,Registered,2012-01-01,
Town of Bruderheim,Alberta,Town,Registered,2012-01-01,
Town of Calmar,Alberta,Town,Registered,2012-01-01,
Town of Canmore,Alberta,Town,Registered,2012-01-01,
Town of Cardston,Alberta,Town,Registered,2012-01-01,
Town of Carstairs,Alberta,Town,Registered,2012-01-01,
Town of Castor,Alberta,Town,Registered,2012-01-01,
Town of Chestermere,Alberta,Town,Registered,2012-01-01,
Town of Claresholm,Alberta,Town,Registered,2012-01-01,
Town of Coaldale,Alberta,Town,Registered,2012-01-01,
Town of Coalhurst,Alberta,Town,Registered,2012-01-01,
Town of Cochrane,Alberta,Town,Registered,2012-01-01,
Town of Coronation,Alberta,Town,Registered,2012-01-01,
Town of Crossfield,Alberta,Town,Registered,2012-01-01,
Town of Daysland,Alberta,Town,Registered,2012-01-01,
Town of Devon,Alberta,Town,Registered,2012-01-01,
Town of Didsbury,Alberta,Town,Registered,2012-01-01,
Town of Drayton Valley,Alberta,Town,Registered,2012-01-01,
Town of Drumheller,Alberta,Town,Registered,2012-01-01,
Town of Eckville,Alberta,Town,Registered,2012-01-01,
Town of Edson,Alberta,Town,Registered,2012-01-01,
Town of Elk Point,Alberta,Town,Registered,2012-01-01,
Town of Fairview,Alberta,Town,Registered,2012-01-01,
Town of Falher,Alberta,Town,Registered,2012-01-01,
Town of Fort Macleod,Alberta,Town,Registered,2012-01-01,
Town of Fox Creek,Alberta,Town,Registered,2012-01-01,
Town of Gibbons,Alberta,Town,Registered,2012-01-01,
Town of Grande Cache,Alberta,Town,Registered,2012-01-01,
Town of Granum,Alberta,Town,Registered,2012-01-01,
Town of Grimshaw,Alberta,Town,Registered,2012-01-01,
Town of Hanna,Alberta,Town,Registered,2012-01-01,
Town of Hardisty,Alberta,Town,Registered,2012-01-01,
Town of High Level,Alberta,Town,Registered,2012-01-01,
Town of High Prairie,Alberta,Town,Registered,2012-01-01,
Town of High River,Alberta,Town,Registered,2012-01-01,
Town of Hinton,Alberta,Town,Registered,2012-01-01,
Town of Innisfail,Alberta,Town,Registered,2012-01-01,
Town of Irricana,Alberta,Town,Registered,2012-01-01,
Town of Killam,Alberta,Town,Registered,2012-01-01,
Town of Lamont,Alberta,Town,Registered,2012-01-01,
Town of Legal,Alberta,Town,Registered,2012-01-01,
Town of Magrath,Alberta,Town,Registered,2012-01-01,
Town of Manning,Alberta,Town,Registered,2012-01-01,
Town of Mayerthorpe,Alberta,Town,Registered,2012-01-01,
Town of McLennan,Alberta,Town,Registered,2012-01-01,
Town of Milk River,Alberta,Town,Registered,2012-01-01,
Town of Millet,Alberta,Town,Registered,2012-01-01,
Town of Morinville,Alberta,Town,Registered,2012-01-01,
Town of Mundare,Alberta,Town,Registered,2012-01-01,
Town of Nanton,Alberta,Town,Registered,2012-01-01,
Town of Okotoks,Alberta,Town,Registered,2012-01-01,
Town of Olds,Alberta,Town,Registered,2012-01-01,
Town of Onoway,Alberta,Town,Registered,2012-01-01,
Town of Oyen,Alberta,Town,Registered,2012-01-01,
Town of Peace River,Alberta,Town,Registered,2012-01-01,
Town of Penhold,Alberta,Town,Registered,2012-01-01,
Town of Picture Butte,Alberta,Town,Registered,2012-01-01,
Town of Pincher Creek,Alberta,Town,Registered,2012-01-01,
Town of Ponoka,Alberta,Town,Registered,2012-01-01,
Town of Provost,Alberta,Town,Registered,2012-01-01,
Town of Rainbow Lake,Alberta,Town,Registered,2012-01-01,
Town of Raymond,Alberta,Town,Registered,2012-01-01,
Town of Redcliff,Alberta,Town,Registered,2012-01-01,
Town of Redwater,Alberta,Town,Registered,2012-01-01,
Town of Rimbey,Alberta,Town,Registered,2012-01-01,
Town of Rocky Mountain House,Alberta,Town,Registered,2012-01-01,
Town of Sedgewick,Alberta,Town,Registered,2012-01-01,
Town of Sexsmith,Alberta,Town,Registered,2012-01-01,
Town of Slave Lake,Alberta,Town,Registered,2012-01-01,
Town of Smoky Lake,Alberta,Town,Registered,2012-01-01,
Town of Spirit River,Alberta,Town,Registered,2012-01-01,
Town of St. Paul,Alberta,Town,Registered,2012-01-01,
Town of Stavely,Alberta,Town,Registered,2012-01-01,
Town of Stettler,Alberta,Town,Registered,2012-01-01,
Town of Stony Plain,Alberta,Town,Registered,2012-01-01,
Town of Strathmore,Alberta,Town,Registered,2012-01-01,
Town of Sundre,Alberta,Town,Registered,2012-01-01,
Town of Swan Hills,Alberta,Town,Registered,2012-01-01,
Town of Sylvan Lake,Alberta,Town,Registered,2012-01-01,
Town of Taber,Alberta,Town,Registered,2012-01-01,
Town of Three Hills,Alberta,Town,Registered,2012-01-01,
Town of Tofield,Alberta,Town,Registered,2012-01-01,
Town of Trochu,Alberta,Town,Registered,2012-01-01,
Town of Turner Valley,Alberta,Town,Registered,2012-01-01,
Town of Two Hills,Alberta,Town,Registered,2012-01-01,
Town of Valleyview,Alberta,Town,Registered,2012-01-01,
Town of Vauxhall,Alberta,Town,Registered,2012-01-01,
Town of Vegreville,Alberta,Town,Registered,2012-01-01,
Town of Vermilion,Alberta,Town,Registered,2012-01-01,
Town of Viking,Alberta,Town,Registered,2012-01-01,
Town of Vulcan,Alberta,Town,Registered,2012-01-01,
Town of Wainwright,Alberta,Town,Registered,2012-01-01,
Town of Wembley,Alberta,Town,Registered,2012-01-01,
Town of Westlock,Alberta,Town,Registered,2012-01-01,
Town of Whitecourt,Alberta,Town,Registered,2012-01-01,
Village of Acme,Alberta,Village,Registered,2012-01-01,
Village of Alix,Alberta,Village,Registered,2012-01-01,
Village of Alliance,Alberta,Village,Registered,2012-01-01,
Village of Amisk,Alberta,Village,Registered,2012-01-01,
Village of Andrew,Alberta,Village,Registered,2012-01-01,
Village of Arrowwood,Alberta,Village,Registered,2012-01-01,
Village of Barnwell,Alberta,Village,Registered,2012-01-01,
Village of Barons,Alberta,Village,Registered,2012-01-01,
Village of Bawlf,Alberta,Village,Registered,2012-01-01,
Village of Beiseker,Alberta,Village,Registered,2012-01-01,
Village of Berwyn,Alberta,Village,Registered,2012-01-01,
Village of Big Valley,Alberta,Village,Registered,2012-01-01,
Village of Bittern Lake,Alberta,Village,Registered,2012-01-01,
Village of Botha,Alberta,Village,Registered,2012-01-01,
Village of Boyle,Alberta,Village,Registered,2012-01-01,
Village of Breton,Alberta,Village,Registered,2012-01-01,
Village of Carbon,Alberta,Village,Registered,2012-01-01,
Village of Carmangay,Alberta,Village,Registered,2012-01-01,
Village of Caroline,Alberta,Village,Registered,2012-01-01,
Village of Cereal,Alberta,Village,Registered,2012-01-01,
Village of Champion,Alberta,Village,Registered,2012-01-01,
Village of Chauvin,Alberta,Village,Registered,2012-01-01,
Village of Chipman,Alberta,Village,Registered,2012-01-01,
Village of Clive,Alberta,Village,Registered,2012-01-01,
Village of Clyde,Alberta,Village,Registered,2012-01-01,
Village of Consort,Alberta,Village,Registered,2012-01-01,
Village of Coutts,Alberta,Village,Registered,2012-01-01,
Village of Cowley,Alberta,Village,Registered,2012-01-01,
Village of Cremona,Alberta,Village,Registered,2012-01-01,
Village of Czar,Alberta,Village,Registered,2012-01-01,
Village of Delburne,Alberta,Village,Registered,2012-01-01,
Village of Delia,Alberta,Village,Registered,2012-01-01,
Village of Dewberry,Alberta,Village,Registered,2012-01-01,
Village of Donalda,Alberta,Village,Registered,2012-01-01,
Village of Donnelly,Alberta,Village,Registered,2012-01-01,
Village of Duchess,Alberta,Village,Registered,2012-01-01,
Village of Edberg,Alberta,Village,Registered,2012-01-01,
Village of Edgerton,Alberta,Village,Registered,2012-01-01,
Village of Elnora,Alberta,Village,Registered,2012-01-01,
Village of Empress,Alberta,Village,Registered,2012-01-01,
Village of Ferintosh,Alberta,Village,Registered,2012-01-01,
Village of Foremost,Alberta,Village,Registered,2012-01-01,
Village of Forestburg,Alberta,Village,Registered,2012-01-01,
Village of Gadsby,Alberta,Village,Registered,2012-01-01,
Village of Galahad,Alberta,Village,Registered,2012-01-01,
Village of Girouxville,Alberta,Village,Registered,2012-01-01,
Village of Glendon,Alberta,Village,Registered,2012-01-01,
Village of Glenwood,Alberta,Village,Registered,2012-01-01,
Village of Halkirk,Alberta,Village,Registered,2012-01-01,
Village of Hay Lakes,Alberta,Village,Registered,2012-01-01,
Village of Heisler,Alberta,Village,Registered,2012-01-01,
Village of Hill Spring,Alberta,Village,Registered,2012-01-01,
Village of Hines Creek,Alberta,Village,Registered,2012-01-01,
Village of Holden,Alberta,Village,Registered,2012-01-01,
Village of Hughenden,Alberta,Village,Registered,2012-01-01,
Village of Hussar,Alberta,Village,Registered,2012-01-01,
Village of Hythe,Alberta,Village,Registered,2012-01-01,
Village of Innisfree,Alberta,Village,Registered,2012-01-01,
Village of Irma,Alberta,Village,Registered,2012-01-01,
Village of Kitscoty,Alberta,Village,Registered,2012-01-01,
Village of Linden,Alberta,Village,Registered,2012-01-01,
Village of Lomond,Alberta,Village,Registered,2012-01-01,
Village of Longview,Alberta,Village,Registered,2012-01-01,
Village of Lougheed,Alberta,Village,Registered,2012-01-01,
Village of Mannville,Alberta,Village,Registered,2012-01-01,
Village of Marwayne,Alberta,Village,Registered,2012-01-01,
Village of Milo,Alberta,Village,Registered,2012-01-01,
Village of Minburn,Alberta,Village,Registered,2012-01-01,
Village of Morrin,Alberta,Village,Registered,2012-01-01,
Village of Munson,Alberta,Village,Registered,2012-01-01,
Village of Myrnam,Alberta,Village,Registered,2012-01-01,
Village of Nampa,Alberta,Village,Registered,2012-01-01,
Village of New Norway,Alberta,Village,Terminated,2012-11-01,
Village of Nobleford,Alberta,Village,Registered,2012-01-01,
Village of Paradise Valley,Alberta,Village,Registered,2012-01-01,
Village of Rockyford,Alberta,Village,Registered,2012-01-01,
Village of Rosalind,Alberta,Village,Registered,2012-01-01,
Village of Rosemary,Alberta,Village,Registered,2012-01-01,
Village of Rycroft,Alberta,Village,Registered,2012-01-01,
Village of Ryley,Alberta,Village,Registered,2012-01-01,
Village of Spring Lake,Alberta,Village,Registered,2012-01-01,
Village of Standard,Alberta,Village,Registered,2012-01-01,
Village of Stirling,Alberta,Village,Registered,2012-01-01,
Village of Strome,Alberta,Village,Registered,2012-01-01,
Village of Thorsby,Alberta,Village,Registered,2012-01-01,
Village of Tilley,Alberta,Village,Terminated,2013-08-31,
Village of Veteran,Alberta,Village,Registered,2012-01-01,
Village of Vilna,Alberta,Village,Registered,2012-01-01,
Village of Wabamun,Alberta,Village,Registered,2012-01-01,
Village of Warburg,Alberta,Village,Registered,2012-01-01,
Village of Warner,Alberta,Village,Registered,2012-01-01,
Village of Waskatenau,Alberta,Village,Registered,2012-01-01,
Village of Willingdon,Alberta,Village,Registered,2012-01-01,
Village of Youngstown,Alberta,Village,Registered,2012-01-01,
Vulcan County,Alberta,Municipal District,Registered,2012-01-01,
Westlock County,Alberta,Municipal District,Registered,2012-01-01,
Wheatland County,Alberta,Municipal District,Registered,2012-01-01,
Woodlands County,Alberta,Municipal District,Registered,2012-01-01,
Yellowhead County,Alberta,Municipal District,Registered,2012-01-01,
100 Mile House,British Columbia,District,Registered,2012-01-01,
Abbotsford,British Columbia,City,Registered,2012-01-01,
Alberni-Clayoquot,British Columbia,Regional District,Registered,2012-01-01,
Alert Bay,British Columbia,Village,Registered,2012-01-01,
Anmore,British Columbia,Village,Registered,2012-01-01,
Armstrong,British Columbia,City,Registered,2012-01-01,
Ashcroft,British Columbia,Village,Registered,2012-01-01,
Barriere,British Columbia,District,Registered,2012-01-01,
Belcarra,British Columbia,Village,Registered,2012-01-01,
Bowen Island,British Columbia,Island Municipality,Registered,2012-01-01,
Bulkley-Nechako,British Columbia,Regional District,Registered,2012-01-01,
Burnaby,British Columbia,City,Registered,2012-01-01,
Burns Lake,British Columbia,Village,Registered,2012-01-01,
Cache Creek,British Columbia,Village,Registered,2012-01-01,
Campbell River,British Columbia,City,Registered,2012-01-01,
Canal Flats,British Columbia,Village,Registered,2012-01-01,
Capital,British Columbia,Regional District,Registered,2012-01-01,
Cariboo,British Columbia,Regional District,Registered,2012-01-01,
Castlegar,British Columbia,City,Registered,2012-01-01,
Central Coast,British Columbia,Regional District,Registered,2012-01-01,
Central Kootenay,British Columbia,Regional District,Registered,2012-01-01,
Central Okanagan,British Columbia,Regional District,Registered,2012-01-01,
Central Saanich,British Columbia,District,Registered,2012-01-01,
Chase,British Columbia,Village,Registered,2012-01-01,
Chetwynd,British Columbia,District,Registered,2012-01-01,
Chilliwack,British Columbia,City,Registered,2012-01-01,
Clearwater,British Columbia,District,Registered,2012-01-01,
Clinton,British Columbia,Village,Registered,2012-01-01,
Coldstream,British Columbia,District,Registered,2012-01-01,
Columbia Shuswap,British Columbia,Regional District,Registered,2012-01-01,
Colwood,British Columbia,City,Registered,2012-01-01,
Comox,British Columbia,Town,Registered,2012-01-01,
Comox Valley,British Columbia,Regional District,Registered,2012-01-01,
Coquitlam,British Columbia,City,Registered,2012-01-01,
Courtenay,British Columbia,City,Registered,2012-01-01,
Cowichan Valley,British Columbia,Regional District,Registered,2012-01-01,
Cranbrook,British Columbia,City,Registered,2012-01-01,
Creston,British Columbia,Town,Registered,2012-01-01,
Cumberland,British Columbia,Village,Registered,2012-01-01,
Dawson Creek,British Columbia,City,Registered,2012-01-01,
Delta,British Columbia,District,Registered,2012-01-01,
Duncan,British Columbia,City,Registered,2012-01-01,
East Kootenay,British Columbia,Regional District,Registered,2012-01-01,
Elkford,British Columbia,District,Registered,2012-01-01,
Enderby,British Columbia,City,Registered,2012-01-01,
Esquimalt,British Columbia,Township,Registered,2012-01-01,
Fernie,British Columbia,City,Registered,2012-01-01,
Fort St. James,British Columbia,District,Registered,2012-01-01,
Fort St. John,British Columbia,City,Registered,2012-01-01,
Fraser Lake,British Columbia,Village,Registered,2012-01-01,
Fraser Valley,British Columbia,Regional District,Registered,2012-01-01,
Fraser-Fort George,British Columbia,Regional District,Registered,2012-01-01,
Fruitvale,British Columbia,Village,Registered,2012-01-01,
Gibsons,British Columbia,Town,Registered,2012-01-01,
Gold River,British Columbia,Village,Registered,2012-01-01,
Golden,British Columbia,Town,Registered,2012-01-01,
Grand Forks,British Columbia,City,Registered,2012-01-01,
Granisle,British Columbia,Village,Registered,2012-01-01,
Greater Vancouver,British Columbia,Regional District,Registered,2012-01-01,
Greenwood,British Columbia,City,Registered,2012-01-01,
Harrison Hot Springs,British Columbia,Village,Registered,2012-01-01,
Hazelton,British Columbia,Village,Registered,2012-01-01,
Highlands,British Columbia,District,Registered,2012-01-01,
Hope,British Columbia,District,Registered,2012-01-01,
Houston,British Columbia,District,Registered,2012-01-01,
Hudson's Hope,British Columbia,District,Registered,2012-01-01,
Invermere,British Columbia,District,Registered,2012-01-01,
Jumbo Glacier,British Columbia,Mountain Resort Municipality,Registered,2013-02-19,
Kamloops,British Columbia,City,Registered,2012-01-01,
Kaslo,British Columbia,Village,Registered,2012-01-01,
Kelowna,British Columbia,City,Registered,2012-01-01,
Kent,British Columbia,District,Registered,2012-01-01,
Keremeos,British Columbia,Village,Registered,2012-01-01,
Kimberley,British Columbia,City,Registered,2012-01-01,
Kitimat,British Columbia,District,Registered,2012-01-01,
Kitimat-Stikine,British Columbia,Regional District,Registered,2012-01-01,
Kootenay Boundary,British Columbia,Regional District,Registered,2012-01-01,
Ladysmith,British Columbia,Town,Registered,2012-01-01,
Lake Country,British Columbia,District,Registered,2012-01-01,
Lake Cowichan,British Columbia,Town,Registered,2012-01-01,
Langford,British Columbia,City,Registered,2012-01-01,
Langley,British Columbia,City,Registered,2012-01-01,
Langley,British Columbia,Township,Registered,2012-01-01,
Lantzville,British Columbia,District,Registered,2012-01-01,
Lillooet,British Columbia,District,Registered,2012-01-01,
Lions Bay,British Columbia,Village,Registered,2012-01-01,
Logan Lake,British Columbia,District,Registered,2012-01-01,
Lumby,British Columbia,Village,Registered,2012-01-01,
Lytton,British Columbia,Village,Registered,2012-01-01,
Mackenzie,British Columbia,District,Registered,2012-01-01,
Maple Ridge,British Columbia,District,Registered,2012-01-01,
Masset,British Columbia,Village,Registered,2012-01-01,
McBride,British Columbia,Village,Registered,2012-01-01,
Merritt,British Columbia,City,Registered,2012-01-01,
Metchosin,British Columbia,District,Registered,2012-01-01,
Midway,British Columbia,Village,Registered,2012-01-01,
Mission,British Columbia,District,Registered,2012-01-01,
Montrose,British Columbia,Village,Registered,2012-01-01,
Mount Waddington,British Columbia,Regional District,Registered,2012-01-01,
Nakusp,British Columbia,Village,Registered,2012-01-01,
Nanaimo,British Columbia,City,Registered,2012-01-01,
Nanaimo,British Columbia,Regional District,Registered,2012-01-01,
Nelson,British Columbia,City,Registered,2012-01-01,
New Denver,British Columbia,Village,Registered,2012-01-01,
New Hazelton,British Columbia,District,Registered,2012-01-01,
